zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
20688,2245,37209.47999999994,  20688,zip,1739,356,1290.9718228867164
20689,49,2773.0099999999993,  20689,zip,2247,339,21.806853582554517
20690,735,14588.270000000004,  20690,zip,753,260,976.0956175298805
20692,20,1091.63,  20692,zip,1273,440,15.710919088766692
20693,52,1714.5400000000006,  20693,zip,947,224,54.91024287222809
20695,426,14520.069999999992,  20695,zip,7924,886,53.760726905603235
20701,15,1439.86,  20701,zip,0,12,Inf
20705,805,22559.73999999999,  20705,zip,27873,1161,28.880995945897464
20706,1107,29126.840000000055,  20706,zip,42397,1276,26.1103379956129
20707,1548,34556.44999999992,  20707,zip,32556,761,47.5488389237007
20708,789,54085.47,  20708,zip,27089,1386,29.12621359223301
20710,72,2001.2699999999995,  20710,zip,9794,282,7.351439656932816
20711,727,37307.29999999996,  20711,zip,7085,606,102.61115031757234
20712,173,4516.9000000000005,  20712,zip,9496,356,18.218197135636057
20714,382,12063.769999999988,  20714,zip,4622,508,82.6482042405885
20715,4184,142469.33000000103,  20715,zip,26768,1118,156.30603705917514
20716,1680,27480.630000000012,  20716,zip,22083,725,76.0766200244532
20720,1111,34529.47999999995,  20720,zip,23502,1229,47.272572547017276
20721,535,14887.369999999986,  20721,zip,29811,1219,17.94639562577572
20722,233,3351.6400000000003,  20722,zip,6022,334,38.69146462969113
20723,1100,43215.24999999997,  20723,zip,35091,1093,31.347069049043913
20724,696,11786.809999999992,  20724,zip,17736,1107,39.242219215155615
20732,1193,30932.33999999991,  20732,zip,9664,527,123.4478476821192
20733,781,35883.32,  20733,zip,2788,343,280.12912482065997
20735,1180,22491.139999999927,  20735,zip,39323,1300,30.00788342700201
20736,765,36527.33999999994,  20736,zip,9491,607,80.60267621957644
20737,225,5443.21,  20737,zip,21787,998,10.327259374856567
20740,1193,56220.70999999998,  20740,zip,31848,706,37.459181110273796
20742,1,1,  20742,zip,6719,498,0.1488316713796696
20743,183,4492.559999999999,  20743,zip,39234,1424,4.664321761737269
20744,2353,35052.24999999999,  20744,zip,54453,1412,43.21157695627422
20745,1032,53411.80999999974,  20745,zip,28472,1442,36.24613655521214
20746,140,2967.6399999999994,  20746,zip,27241,1308,5.139312066370545
20747,375,12687.24,  20747,zip,39946,1393,9.387673359034697
20748,653,14587.360000000004,  20748,zip,38011,1490,17.179237589118937
20751,672,10915.30000000001,  20751,zip,2240,314,300
20754,1336,44534.28999999998,  20754,zip,6910,397,193.34298118668596
20755,167,4977.139999999996,  20755,zip,10297,633,16.218316014373116
20758,135,4327.030000000003,  20758,zip,466,146,289.69957081545067
20759,1027,36052.18999999997,  20759,zip,5011,683,204.94911195370184
20762,48,14706.78,  20762,zip,2964,341,16.194331983805668
20763,71,3276.5099999999993,  20763,zip,2113,609,33.601514434453385
20764,462,12968.499999999998,  20764,zip,4177,585,110.60569786928417
20765,522,6221.2599999999975,  20765,zip,415,129,1257.8313253012047
20769,210,15896.250000000004,  20769,zip,7439,823,28.229600752789352
20770,496,21328.50999999997,  20770,zip,24629,571,20.138860692679362
20772,1389,31955.939999999937,  20772,zip,44948,1214,30.90237607902465
20774,841,21914.559999999983,  20774,zip,46812,1494,17.965478937024695
20776,1963,65721.77000000003,  20776,zip,3149,612,623.3724992060971
20777,293,20180.67,  20777,zip,3616,396,81.0287610619469
20778,393,16143.259999999997,  20778,zip,1972,429,199.29006085192697
20779,125,5277.000000000001,  20779,zip,985,210,126.90355329949237
20781,158,10096.329999999998,  20781,zip,11626,648,13.590228797522794
20782,7196,26050.830000000293,  20782,zip,32553,1264,221.05489509415415
20783,527,9823.730000000003,  20783,zip,45559,1506,11.56741807326763
20784,379,17513.350000000002,  20784,zip,30184,929,12.556321229790617
20785,651,38606.709999999955,  20785,zip,37601,1222,17.3133693252839
20794,793,15510.410000000007,  20794,zip,16601,1145,47.76820673453407
20812,15,2051.1,  20812,zip,325,75,46.15384615384615
20814,2487,202639.16000000053,  20814,zip,28930,855,85.96612512962324
20815,3805,721210.8099999983,  20815,zip,30512,878,124.70503408495019
20816,2495,284897.07999999885,  20816,zip,16367,517,152.44088715097453
20817,3009,522987.4099999978,  20817,zip,36681,919,82.03156947738611
20818,316,18863.17999999999,  20818,zip,2019,278,156.5131253095592
20832,3362,114980.55000000096,  20832,zip,26448,798,127.11736237144586
20833,963,30259.05999999992,  20833,zip,7750,619,124.25806451612902
20837,3241,57977.12000000006,  20837,zip,6225,266,520.6425702811244
20838,24,941.08,  20838,zip,252,75,95.23809523809523
20839,18,512.8499999999999,  20839,zip,100,136,180
20841,744,21229.879999999983,  20841,zip,10481,769,70.9855929777693
20842,136,10108.009999999997,  20842,zip,1712,289,79.43925233644859
20850,5886,203583.64000000097,  20850,zip,51568,1120,114.14055228048402
20851,719,18287.63,  20851,zip,15106,804,47.59698133192109
20852,4380,157263.340000001,  20852,zip,46904,1095,93.38222752856899
20853,2626,124813.38000000051,  20853,zip,31178,1052,84.22605683494771
20854,12131,944799.1799999998,  20854,zip,49194,1048,246.59511322519006
20855,2795,92437.87000000042,  20855,zip,14302,925,195.42721297720598
20860,292,14416.610000000002,  20860,zip,2805,622,104.09982174688056
20861,257,11465.850000000008, 20861,zip,1665,304,154.35435435435434
20862,70,3784.6399999999976, 20862,zip,327,94,214.0672782874618
20866,1219,25807.389999999996, 20866,zip,16171,1023,75.38185640962217
20868,122,2218.01, 20868,zip,864,212,141.2037037037037
20871,4612,80923.96000000063, 20871,zip,20008,977,230.50779688124751
20872,1755,39932.7499999999, 20872,zip,12940,638,135.62596599690883
20874,4528,132768.29000000193, 20874,zip,61045,1400,74.17478909001555
20876,3321,59598.96000000026, 20876,zip,28919,1289,114.83799578132025
20877,4482,135030.5500000012, 20877,zip,38885,1290,115.26295486691527
20878,6764,261582.07000000097, 20878,zip,64126,1156,105.47983657174936
20879,1423,46258.66000000008, 20879,zip,27871,1406,51.05665386961358
20880,2579,3529.360000000013, 20880,zip,455,99,5668.131868131868
20882,2077,55039.370000000104, 20882,zip,13450,765,154.42379182156134
20886,2666,44448.79999999998, 20886,zip,34100,1071,78.18181818181819
20895,1821,84943.84000000029, 20895,zip,19637,598,92.73310587156898
20896,54,6205.740000000002, 20896,zip,929,150,58.1270182992465
20901,1373,39357.02999999992, 20901,zip,36154,1163,37.97643414283343
20902,2665,111594.10000000116, 20902,zip,52484,1503,50.777379772883165
20903,587,24608.239999999972, 20903,zip,26206,1365,22.39945050751736
20904,3751,162519.77000000112, 20904,zip,57035,1833,65.76663452266153
20905,1413,51927.54000000004, 20905,zip,18123,954,77.96722396954146
20906,5229,113328.51000000157, 20906,zip,70174,1675,74.51477755293983
20910,4974,124519.65000000046, 20910,zip,42868,1321,116.03060557991977
20912,343,14698.359999999995, 20912,zip,26239,1078,13.072144517702656
21001,1059,32703.409999999927, 21001,zip,24453,732,43.3075696233591
21005,51,1740.7099999999998, 21005,zip,2723,243,18.72934263679765
21009,5140,66653.2000000004, 21009,zip,29997,996,171.35046838017135
21010,4,76, 21010,zip,217,68,18.433179723502302
21012,3137,92377.88000000056, 21012,zip,21772,952,144.08414477310308
21013,1870,51311.059999999954, 21013,zip,4608,418,405.81597222222223
21014,7659,148802.47000000265, 21014,zip,35681,750,214.65205571592725
21015,4943,124358.7200000016, 21015,zip,29192,892,169.3272129350507
21017,616,9860.279999999992, 21017,zip,6597,737,93.37577686827346
21028,651,12705.77, 21028,zip,3021,238,215.49155908639523
21029,996,55820.07999999995, 21029,zip,10595,568,94.00660689004248
21030,2511,108375.52000000064, 21030,zip,25637,1157,97.94437726723096
21031,3,121.07, 21031,zip,0,12,Inf
21032,2557,106763.8800000004, 21032,zip,8276,514,308.96568390526824
21034,196,4830.949999999999, 21034,zip,3475,321,56.402877697841724
21035,1619,105207.05000000032, 21035,zip,8423,525,192.2118010210139
21036,128,7781.639999999995, 21036,zip,2275,332,56.26373626373626
