zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
20910,60712,2979373.470000009,ZCTA5 20910,zip,42868,1321,1416.2545488476253
20912,38778,1936275.090000004,ZCTA5 20912,zip,26239,1078,1477.8764434620223
21001,9185,126335.17999999996,ZCTA5 21001,zip,24453,732,375.61853351327034
21005,1513,7449.8,ZCTA5 21005,zip,2723,243,555.6371648916636
21009,5538,94785.23000000004,ZCTA5 21009,zip,29997,996,184.6184618461846
21010,1196,18019.26,ZCTA5 21010,zip,217,68,5511.520737327189
21012,11344,448162.7999999995,ZCTA5 21012,zip,21772,952,521.036193275767
21013,1809,42460.45999999997,ZCTA5 21013,zip,4608,418,392.578125
21014,9571,216782.57000000024,ZCTA5 21014,zip,35681,750,268.23799781396264
21015,7969,198034.8099999996,ZCTA5 21015,zip,29192,892,272.98574952041656
21017,1139,18434.4,ZCTA5 21017,zip,6597,737,172.65423677429135
21028,777,21243.45,ZCTA5 21028,zip,3021,238,257.1996027805363
21029,5070,334097.21000000037,ZCTA5 21029,zip,10595,568,478.5276073619632
21030,9939,375350.1199999992,ZCTA5 21030,zip,25637,1157,387.68186605297035
21031,10,589.24,ZCTA5 21031,zip,0,12,Inf
21032,5033,231805.08,ZCTA5 21032,zip,8276,514,608.1440309328177
21034,608,23530.29,ZCTA5 21034,zip,3475,321,174.9640287769784
21035,6200,200449.85000000024,ZCTA5 21035,zip,8423,525,736.0797815505165
21036,1189,69995.87,ZCTA5 21036,zip,2275,332,522.6373626373626
21037,9471,376584.1499999987,ZCTA5 21037,zip,21524,887,440.0204422969708
21040,2305,33320.56,ZCTA5 21040,zip,24424,1119,94.37438584998361
21042,28455,1050627.5999999992,ZCTA5 21042,zip,40980,1104,694.363103953148
21043,20844,686790.2499999983,ZCTA5 21043,zip,46932,1429,444.13193556635133
21044,44569,1337506.6200000034,ZCTA5 21044,zip,44034,1178,1012.1497025026116
21045,30660,803755.2300000013,ZCTA5 21045,zip,39946,1022,767.5361738346768
21046,11234,309389.19999999896,ZCTA5 21046,zip,15988,627,702.6519889917439
21047,2633,69101.56999999999,ZCTA5 21047,zip,12096,501,217.67526455026456
21048,2073,66157.87999999996,ZCTA5 21048,zip,10465,881,198.08886765408505
21050,3563,70752.11000000012,ZCTA5 21050,zip,18586,563,191.70343269127298
21051,461,25766.14,ZCTA5 21051,zip,330,104,1396.969696969697
21052,16,551,ZCTA5 21052,zip,251,100,63.745019920318725
21053,776,14091.339999999998,ZCTA5 21053,zip,3302,488,235.0090854027862
21054,5833,159548.24000000028,ZCTA5 21054,zip,11009,849,529.8392224543555
21056,98,38413,ZCTA5 21056,zip,146,84,671.2328767123288
21057,2464,65720.03000000001,ZCTA5 21057,zip,4284,344,575.1633986928105
21060,14209,173872.13999999993,ZCTA5 21060,zip,34360,1316,413.5331781140861
21061,10219,168692.45000000004,ZCTA5 21061,zip,54059,1569,189.03420337039162
21071,287,8471.130000000001,ZCTA5 21071,zip,595,272,482.3529411764706
21074,2983,55540.70000000002,ZCTA5 21074,zip,14872,772,200.5782678859602
21075,8984,224807.7100000003,ZCTA5 21075,zip,32496,907,276.464795667159
21076,6352,235382.90000000017,ZCTA5 21076,zip,17204,963,369.21646128807254
21077,85,1464.38,ZCTA5 21077,zip,271,155,313.65313653136536
21078,7808,212588.47000000055,ZCTA5 21078,zip,18097,488,431.4527269713212
21082,459,13343.93,ZCTA5 21082,zip,611,183,751.2274959083469
21084,1638,29954.660000000033,ZCTA5 21084,zip,7583,537,216.00949492285378
21085,2745,55980.65999999996,ZCTA5 21085,zip,16177,659,169.68535575199357
21087,656,20466.26,ZCTA5 21087,zip,5407,323,121.32420935823932
21090,1933,50232.64000000003,ZCTA5 21090,zip,10494,605,184.20049552125022
21093,22218,633944.1899999967,ZCTA5 21093,zip,37917,1063,585.9640794366643
21102,3317,51923.16000000006,ZCTA5 21102,zip,11299,617,293.56580228338794
21104,4210,99374.20000000011,ZCTA5 21104,zip,5300,442,794.3396226415094
21105,28,267,ZCTA5 21105,zip,0,12,Inf
21108,6603,220072.7800000001,ZCTA5 21108,zip,18938,886,348.6640616749393
21111,3969,93046.8800000003,ZCTA5 21111,zip,4995,566,794.5945945945946
21113,16279,444059.96000000014,ZCTA5 21113,zip,33736,1249,482.54090585724447
21114,8848,236144.47000000044,ZCTA5 21114,zip,26759,800,330.65510669307525
21117,23052,657696.399999998,ZCTA5 21117,zip,58673,1677,392.8894039847971
21120,2596,77234.65999999997,ZCTA5 21120,zip,7214,532,359.8558358746881
21122,9609,221055.7499999993,ZCTA5 21122,zip,60461,1413,158.92889631332594
21128,1908,49255.929999999986,ZCTA5 21128,zip,14425,750,132.27036395147312
21130,7,225,ZCTA5 21130,zip,296,164,23.64864864864865
21131,2873,130327.89000000012,ZCTA5 21131,zip,7456,521,385.3272532188841
21132,185,6295.84,ZCTA5 21132,zip,3362,761,55.02676977989292
21133,8682,146954.52000000025,ZCTA5 21133,zip,32489,1177,267.2289082458678
21136,11483,323548.850000002,ZCTA5 21136,zip,34164,1004,336.1140381688327
21140,1294,55152.62999999996,ZCTA5 21140,zip,3431,322,377.14951909064416
21144,11718,222529.8500000001,ZCTA5 21144,zip,35240,1380,332.5198637911464
21146,13148,487095.9399999995,ZCTA5 21146,zip,28006,946,469.4708276797829
21152,1796,80268.00000000007,ZCTA5 21152,zip,5511,647,325.8936672110325
21153,1329,41921.91000000001,ZCTA5 21153,zip,316,176,4205.696202531645
21154,568,14000.14,ZCTA5 21154,zip,5911,589,96.09203180510912
21155,578,15340.34,ZCTA5 21155,zip,2584,379,223.68421052631578
21156,40,1304.9999999999998,ZCTA5 21156,zip,320,114,125
21157,8691,202460.4400000002,ZCTA5 21157,zip,36985,1176,234.9871569555225
21158,4343,99560.21000000004,ZCTA5 21158,zip,20929,900,207.51110898752924
21160,285,5854.12,ZCTA5 21160,zip,2845,644,100.17574692442882
21161,1036,26816.29999999997,ZCTA5 21161,zip,5221,493,198.42941965140778
21162,705,11934.46,ZCTA5 21162,zip,4354,468,161.9200734956362
21163,4816,171400.08000000005,ZCTA5 21163,zip,7158,521,672.8136350936016
21201,6643,366729.6200000009,ZCTA5 21201,zip,17136,950,387.66339869281046
21202,6148,382084.8500000009,ZCTA5 21202,zip,21010,865,292.6225606853879
